fold,n_train,n_test,roc_auc,average_precision,best_C,best_l1_ratio,eligible_features
1,101,26,0.5595238095238095,0.6550486366181855,1.0,1.0,113
2,101,26,0.6666666666666666,0.7462042159521151,3.0,0.0,109
3,102,25,0.6346153846153846,0.7002906645893072,1.0,1.0,116
4,102,25,0.7692307692307693,0.8042605396112184,0.3,1.0,116
5,102,25,0.576923076923077,0.6307396106309149,1.0,0.75,116
