mean_predicted_probability,observed_fraction_positive
0.028212031203130015,0.36363636363636365
0.15454363985622158,0.45
0.39504991750626706,0.45454545454545453
0.6117620419901669,0.5238095238095238
0.8248285408920651,0.75
0.9817948588727,0.6363636363636364
