fpr,tpr,threshold
0.0,0.0,inf
0.0,0.014925373134328358,0.999998189800143
0.0,0.08955223880597014,0.9981013212068536
0.03333333333333333,0.08955223880597014,0.995120859630853
0.03333333333333333,0.14925373134328357,0.9866110088426431
0.08333333333333333,0.14925373134328357,0.9802641382150313
0.08333333333333333,0.208955223880597,0.9664031291740477
0.13333333333333333,0.208955223880597,0.928077828810037
0.13333333333333333,0.2537313432835821,0.8988651541982341
0.16666666666666666,0.2537313432835821,0.8783339760265014
0.16666666666666666,0.3283582089552239,0.8549342460891407
0.18333333333333332,0.3283582089552239,0.8278659927384239
0.18333333333333332,0.3582089552238806,0.8094596304211877
0.2,0.3582089552238806,0.7862559908237226
0.2,0.43283582089552236,0.7230907318604707
0.23333333333333334,0.43283582089552236,0.7148314970921951
0.23333333333333334,0.4626865671641791,0.7014433717723922
0.2833333333333333,0.4626865671641791,0.6765741984806619
0.2833333333333333,0.47761194029850745,0.6562268010212978
0.3,0.47761194029850745,0.6559321364114663
0.3,0.4925373134328358,0.6303104383245618
0.31666666666666665,0.4925373134328358,0.6256347336133032
0.31666666666666665,0.5223880597014925,0.6102806225948975
0.3333333333333333,0.5223880597014925,0.6007059605027206
0.3333333333333333,0.5671641791044776,0.5580786485644337
0.36666666666666664,0.5671641791044776,0.5230758114839852
0.36666666666666664,0.582089552238806,0.518788790525935
0.38333333333333336,0.582089552238806,0.5091355715166316
0.38333333333333336,0.5970149253731343,0.47753870696170725
0.43333333333333335,0.5970149253731343,0.4624203390128906
0.43333333333333335,0.6268656716417911,0.4558461199082279
0.45,0.6268656716417911,0.45234386384654407
0.45,0.6417910447761194,0.44357632682984127
0.4666666666666667,0.6417910447761194,0.43926547924969966
0.4666666666666667,0.6716417910447762,0.42142348197738866
0.5333333333333333,0.6716417910447762,0.3810222544822625
0.5333333333333333,0.7164179104477612,0.35851067519731666
0.55,0.7164179104477612,0.3163705474532635
0.55,0.746268656716418,0.3085733866346997
0.5833333333333334,0.746268656716418,0.26819233110689367
0.5833333333333334,0.7761194029850746,0.2279674747663011
0.6166666666666667,0.7761194029850746,0.22271731803159897
0.6166666666666667,0.7910447761194029,0.20547370702120224
0.6333333333333333,0.7910447761194029,0.17986705522920046
0.6333333333333333,0.8059701492537313,0.1736101316861878
0.6666666666666666,0.8059701492537313,0.16832581568915406
0.6666666666666666,0.8208955223880597,0.16069506423025684
0.6833333333333333,0.8208955223880597,0.15961445499333718
0.6833333333333333,0.835820895522388,0.1344168642750869
0.7,0.835820895522388,0.11434177435644816
0.7,0.8507462686567164,0.1123700003859616
0.7166666666666667,0.8507462686567164,0.1114831773256825
0.7166666666666667,0.8656716417910447,0.10197814309747606
0.75,0.8656716417910447,0.09555728005378313
0.75,0.8805970149253731,0.09472156639155975
0.7833333333333333,0.8805970149253731,0.08027119239414407
0.7833333333333333,0.8955223880597015,0.07853319662581881
0.8,0.8955223880597015,0.069699001210643
0.8,0.9253731343283582,0.05567304140032717
0.8333333333333334,0.9253731343283582,0.03916426381285146
0.8333333333333334,0.9402985074626866,0.03852126304065536
0.9,0.9402985074626866,0.017903336756398762
0.9,0.9850746268656716,0.0065691803759076305
0.95,0.9850746268656716,0.002446551374077126
0.95,1.0,0.0018029901860383553
1.0,1.0,6.0023724671869276e-05
