recall,precision
1.0,0.5275590551181102
1.0,0.5317460317460317
1.0,0.536
1.0,0.5403225806451613
0.9850746268656716,0.5365853658536586
0.9850746268656716,0.5409836065573771
0.9850746268656716,0.5454545454545454
0.9850746268656716,0.55
0.9701492537313433,0.5462184873949579
0.9552238805970149,0.5423728813559322
0.9402985074626866,0.5384615384615384
0.9402985074626866,0.5431034482758621
0.9402985074626866,0.5478260869565217
0.9402985074626866,0.5526315789473685
0.9402985074626866,0.5575221238938053
0.9253731343283582,0.5535714285714286
0.9253731343283582,0.5585585585585585
0.9253731343283582,0.5636363636363636
0.9104477611940298,0.5596330275229358
0.8955223880597015,0.5555555555555556
0.8955223880597015,0.5607476635514018
0.8805970149253731,0.5566037735849056
0.8805970149253731,0.5619047619047619
0.8805970149253731,0.5673076923076923
0.8656716417910447,0.5631067961165048
0.8656716417910447,0.5686274509803921
0.8656716417910447,0.5742574257425742
0.8507462686567164,0.57
0.8507462686567164,0.5757575757575758
0.835820895522388,0.5714285714285714
0.835820895522388,0.5773195876288659
0.8208955223880597,0.5729166666666666
0.8208955223880597,0.5789473684210527
0.8059701492537313,0.574468085106383
0.8059701492537313,0.5806451612903226
0.8059701492537313,0.5869565217391305
0.7910447761194029,0.5824175824175825
0.7910447761194029,0.5888888888888889
0.7761194029850746,0.5842696629213483
0.7761194029850746,0.5909090909090909
0.7761194029850746,0.5977011494252874
0.7611940298507462,0.5930232558139535
0.746268656716418,0.5882352941176471
0.746268656716418,0.5952380952380952
0.746268656716418,0.6024096385542169
0.7313432835820896,0.5975609756097561
0.7164179104477612,0.5925925925925926
0.7164179104477612,0.6
0.7014925373134329,0.5949367088607594
0.6865671641791045,0.5897435897435898
0.6716417910447762,0.5844155844155844
0.6716417910447762,0.5921052631578947
0.6716417910447762,0.6
0.6716417910447762,0.6081081081081081
0.6716417910447762,0.6164383561643836
0.6567164179104478,0.6111111111111112
0.6417910447761194,0.6056338028169014
0.6417910447761194,0.6142857142857143
0.6268656716417911,0.6086956521739131
0.6268656716417911,0.6176470588235294
0.6119402985074627,0.6119402985074627
0.5970149253731343,0.6060606060606061
0.5970149253731343,0.6153846153846154
0.5970149253731343,0.625
0.5970149253731343,0.6349206349206349
0.582089552238806,0.6290322580645161
0.582089552238806,0.639344262295082
0.5671641791044776,0.6333333333333333
0.5671641791044776,0.6440677966101694
0.5671641791044776,0.6551724137931034
0.5522388059701493,0.6491228070175439
0.5373134328358209,0.6428571428571429
0.5223880597014925,0.6363636363636364
0.5223880597014925,0.6481481481481481
0.5074626865671642,0.6415094339622641
0.4925373134328358,0.6346153846153846
0.4925373134328358,0.6470588235294118
0.47761194029850745,0.64
0.47761194029850745,0.6530612244897959
0.4626865671641791,0.6458333333333334
0.4626865671641791,0.6595744680851063
0.4626865671641791,0.6739130434782609
0.4626865671641791,0.6888888888888889
0.44776119402985076,0.6818181818181818
0.43283582089552236,0.6744186046511628
0.43283582089552236,0.6904761904761905
0.43283582089552236,0.7073170731707317
0.417910447761194,0.7
0.40298507462686567,0.6923076923076923
0.3880597014925373,0.6842105263157895
0.373134328358209,0.6756756756756757
0.3582089552238806,0.6666666666666666
0.3582089552238806,0.6857142857142857
0.34328358208955223,0.6764705882352942
0.3283582089552239,0.6666666666666666
0.3283582089552239,0.6875
0.31343283582089554,0.6774193548387096
0.29850746268656714,0.6666666666666666
0.2835820895522388,0.6551724137931034
0.26865671641791045,0.6428571428571429
0.2537313432835821,0.6296296296296297
0.2537313432835821,0.6538461538461539
0.2537313432835821,0.68
0.23880597014925373,0.6666666666666666
0.22388059701492538,0.6521739130434783
0.208955223880597,0.6363636363636364
0.208955223880597,0.6666666666666666
0.208955223880597,0.7
0.208955223880597,0.7368421052631579
0.19402985074626866,0.7222222222222222
0.1791044776119403,0.7058823529411765
0.16417910447761194,0.6875
0.14925373134328357,0.6666666666666666
0.14925373134328357,0.7142857142857143
0.14925373134328357,0.7692307692307693
0.14925373134328357,0.8333333333333334
0.13432835820895522,0.8181818181818182
0.11940298507462686,0.8
0.1044776119402985,0.7777777777777778
0.08955223880597014,0.75
0.08955223880597014,0.8571428571428571
0.08955223880597014,1.0
0.07462686567164178,1.0
0.05970149253731343,1.0
0.04477611940298507,1.0
0.029850746268656716,1.0
0.014925373134328358,1.0
0.0,1.0
